current,action,reward,next
"{'next_next_pipe_top_y': 153, 'player_vel': -7.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 199.0, 'next_next_pipe_dist_to_player': 343.0, 'player_y': 111.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 195.0, 'next_next_pipe_dist_to_player': 339.0, 'player_y': 103.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 195.0, 'next_next_pipe_dist_to_player': 339.0, 'player_y': 103.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 191.0, 'next_next_pipe_dist_to_player': 335.0, 'player_y': 103.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 191.0, 'next_next_pipe_dist_to_player': 335.0, 'player_y': 103.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 187.0, 'next_next_pipe_dist_to_player': 331.0, 'player_y': 95.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 187.0, 'next_next_pipe_dist_to_player': 331.0, 'player_y': 95.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 183.0, 'next_next_pipe_dist_to_player': 327.0, 'player_y': 87.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 183.0, 'next_next_pipe_dist_to_player': 327.0, 'player_y': 87.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 179.0, 'next_next_pipe_dist_to_player': 323.0, 'player_y': 79.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 179.0, 'next_next_pipe_dist_to_player': 323.0, 'player_y': 79.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 175.0, 'next_next_pipe_dist_to_player': 319.0, 'player_y': 79.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 175.0, 'next_next_pipe_dist_to_player': 319.0, 'player_y': 79.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 171.0, 'next_next_pipe_dist_to_player': 315.0, 'player_y': 71.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 171.0, 'next_next_pipe_dist_to_player': 315.0, 'player_y': 71.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 167.0, 'next_next_pipe_dist_to_player': 311.0, 'player_y': 71.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 167.0, 'next_next_pipe_dist_to_player': 311.0, 'player_y': 71.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 163.0, 'next_next_pipe_dist_to_player': 307.0, 'player_y': 63.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 163.0, 'next_next_pipe_dist_to_player': 307.0, 'player_y': 63.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 159.0, 'next_next_pipe_dist_to_player': 303.0, 'player_y': 63.0}"
